임신부터 출산 후 24개월까지 — 전체 콘텐츠 인벤토리,,,,,,,,,,,,,,,,,,,,,,,,,,
한 행은 하나의 정보 또는 행동 단위입니다. 필터로 시기·주제·유형·행동 단계·대상·중요도를 조합해 검토하세요. 의료·행정 내용은 공식 출처 확인 후 사용하세요.,,,,,,,,,,,,,,,,,,,,,,,,,,
번호,대시기,세부 시기,시점 기준,시작 값,종료 값,단위,주제,세부 주제,태그,콘텐츠 유형,행동 단계,대상,제목,요약,왜 필요한가,어떻게 하는가,중요도,체크 가능,개인화 조건,관련 항목,공식 출처,출처 상태,검토 상태,예상 비용,바우처 사용 가능,메모
128,출산 준비,37~40주,임신 주차,37,40,주,산모 건강·회복,병원 확인 신호,,병원 확인 신호,실행,산모·아기,규칙적인 진통,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,규칙적인 진통,https://www.childcare.go.kr/?menuno=267,공식 출처 확인 필요,초안,,,
129,출산 준비,37~40주,임신 주차,37,40,주,산모 건강·회복,병원 확인 신호,,병원 확인 신호,실행,산모·아기,양수 의심 또는 질출혈,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,양수 의심 또는 질출혈,https://www.childcare.go.kr/?menuno=267,공식 출처 확인 필요,초안,,,
130,출산 준비,37~40주,임신 주차,37,40,주,산모 건강·회복,병원 확인 신호,,병원 확인 신호,실행,산모·아기,태동 감소,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,태동 감소,https://www.childcare.go.kr/?menuno=267,공식 출처 확인 필요,초안,,,
131,출산 준비,37~40주,임신 주차,37,40,주,산모 건강·회복,병원 확인 신호,,병원 확인 신호,실행,산모·아기,참기 어려운 지속 통증,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,참기 어려운 지속 통증,https://www.childcare.go.kr/?menuno=267,공식 출처 확인 필요,초안,,,
132,출산 준비,37~40주,임신 주차,37,40,주,산모 건강·회복,병원 확인 신호,,병원 확인 신호,실행,산모·아기,심한 두통·시야 이상,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,심한 두통·시야 이상,https://www.childcare.go.kr/?menuno=267,공식 출처 확인 필요,초안,,,
133,출산 준비,37~40주,임신 주차,37,40,주,출산 준비,최종 점검,,할 일,준비,부부,출산가방 실제 수납 상태 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,출산가방 실제 수납 상태 확인,,편집 검토 필요,초안,,,
134,출산 준비,37~40주,임신 주차,37,40,주,출산 준비,최종 점검,,할 일,준비,부부,입원 당일 추가할 물품 표시,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,입원 당일 추가할 물품 표시,,편집 검토 필요,초안,,,
135,출산 준비,37~40주,임신 주차,37,40,주,출산 준비,최종 점검,,할 일,준비,부부,병원까지 이동 시간과 출발 시각 확정,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,병원까지 이동 시간과 출발 시각 확정,,편집 검토 필요,초안,,,
136,출산 준비,37~40주,임신 주차,37,40,주,출산 준비,최종 점검,,할 일,준비,부부,가족 연락 순서와 공유 범위 확정,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,가족 연락 순서와 공유 범위 확정,,편집 검토 필요,초안,,,
137,출산 준비,37~40주,임신 주차,37,40,주,입원·출산 과정,분만·입원비,,할 일,알아보기,부부,예상 병원비와 결제 방법 확인,예상 지출과 지원금을 미리 파악하면 의사결정이 쉬워져요.,예상 지출과 지원금을 미리 파악하면 의사결정이 쉬워져요.,기관별 예상 금액과 실제 결제액을 구분해 기록하세요.,권장,예,공통,예상 병원비와 결제 방법 확인,,편집 검토 필요,초안,병원·병실별 상이,확인 필요,
138,출산 준비,37~40주,임신 주차,37,40,주,입원·출산 과정,분만·입원비,,할 일,알아보기,부부,병실·통증조절 등 선택 비용 질문,예상 지출과 지원금을 미리 파악하면 의사결정이 쉬워져요.,예상 지출과 지원금을 미리 파악하면 의사결정이 쉬워져요.,기관별 예상 금액과 실제 결제액을 구분해 기록하세요.,권장,예,공통,병실·통증조절 등 선택 비용 질문,,편집 검토 필요,초안,병원·병실별 상이,확인 필요,
139,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,출산 준비,병원 확인,,할 일,알아보기,부부,금식과 복용약 지침 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,금식과 복용약 지침 확인,,편집 검토 필요,초안,,,
140,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,출산 준비,병원 확인,,할 일,알아보기,부부,사진·영상 촬영 가능 범위 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,사진·영상 촬영 가능 범위 확인,,편집 검토 필요,초안,,,
141,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,출산 준비,병원 확인,,할 일,알아보기,부부,보호자 상주 가능 여부 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,보호자 상주 가능 여부 확인,,편집 검토 필요,초안,,,
142,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,출산 준비,병원 확인,,할 일,알아보기,부부,입원 준비물 최종 병원 안내 받기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,입원 준비물 최종 병원 안내 받기,,편집 검토 필요,초안,,,
143,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,입원·출산 과정,통증 조절,,가이드,알아보기,부부,진통 중 통증조절 방법 질문 정리,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,진통 중 통증조절 방법 질문 정리,,병원·기관 확인 필요,초안,,,
144,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,입원·출산 과정,통증 조절,,가이드,알아보기,부부,무통주사 시행 조건과 비용 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,무통주사 시행 조건과 비용 확인,,병원·기관 확인 필요,초안,병원별 상이,확인 필요,
145,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,입원·출산 과정,통증 조절,,가이드,알아보기,부부,제왕절개 전환 시 확인할 내용 정리,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,제왕절개 전환 시 확인할 내용 정리,,병원·기관 확인 필요,초안,,,
146,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,보호자·부부 역할,보호자 역할,,가이드,준비,부부,진통 중 보호자가 도울 방법 연습,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,진통 중 보호자가 도울 방법 연습,,편집 검토 필요,초안,,,
147,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,보호자·부부 역할,보호자 역할,,가이드,준비,부부,산모가 싫어하는 도움과 원하는 도움 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,산모가 싫어하는 도움과 원하는 도움 확인,,편집 검토 필요,초안,,,
148,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,보호자·부부 역할,보호자 역할,,가이드,준비,부부,의료진 설명을 기록할 메모 방법 정하기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,의료진 설명을 기록할 메모 방법 정하기,,편집 검토 필요,초안,,,
149,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,출산 준비,집과 반려동물,,할 일,준비,부부,입원 기간 반려동물 돌봄 담당 정하기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,반려동물 있음,입원 기간 반려동물 돌봄 담당 정하기,,편집 검토 필요,초안,,,
150,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,출산 준비,집과 반려동물,,할 일,준비,부부,사료·산책·주의사항 공유,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,반려동물 있음,사료·산책·주의사항 공유,,편집 검토 필요,초안,,,
151,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,출산 준비,집과 반려동물,,할 일,준비,부부,집 출입 방법과 비상 연락처 공유,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,반려동물 있음,집 출입 방법과 비상 연락처 공유,,편집 검토 필요,초안,,,
152,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,행정·지원 혜택,출생 후 행정,,가이드,알아보기,부부,출생신고 방법과 필요한 정보 미리 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,출생신고 방법과 필요한 정보 미리 확인,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
153,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,행정·지원 혜택,출생 후 행정,,가이드,알아보기,부부,행복출산 원스톱서비스 대상 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,행복출산 원스톱서비스 대상 확인,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
154,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,행정·지원 혜택,출생 후 행정,,가이드,알아보기,부부,첫만남이용권·부모급여·아동수당 개요 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,첫만남이용권·부모급여·아동수당 개요 확인,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
155,입원 직전,입원 D-7~D-1,입원일,-7,-1,일,출산 준비,출산가방,,준비 목록,실행,부부,산모 가방 최종 수납,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,필수,예,공통,산모 가방 최종 수납,,편집 검토 필요,초안,,,
156,입원 직전,입원 D-7~D-1,입원일,-7,-1,일,출산 준비,출산가방,,준비 목록,실행,부부,아기 퇴원 물품 최종 수납,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,필수,예,공통,아기 퇴원 물품 최종 수납,,편집 검토 필요,초안,,,
157,입원 직전,입원 D-7~D-1,입원일,-7,-1,일,출산 준비,출산가방,,준비 목록,실행,부부,보호자 가방 최종 수납,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,필수,예,공통,보호자 가방 최종 수납,,편집 검토 필요,초안,,,
158,입원 직전,입원 D-7~D-1,입원일,-7,-1,일,출산 준비,출산가방,,준비 목록,실행,부부,서류 파일 최종 확인,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,필수,예,공통,서류 파일 최종 확인,,편집 검토 필요,초안,,,
159,입원 직전,입원 D-7~D-1,입원일,-7,-1,일,출산 준비,출산가방,,준비 목록,실행,부부,충전기·보조배터리 충전,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,필수,예,공통,충전기·보조배터리 충전,,편집 검토 필요,초안,,,
160,입원 직전,입원 D-7~D-1,입원일,-7,-1,일,출산 준비,입원 당일,,준비 목록,준비,부부,휴대폰·지갑·신분증 당일 목록 만들기,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,권장,예,공통,휴대폰·지갑·신분증 당일 목록 만들기,,편집 검토 필요,초안,,,
161,입원 직전,입원 D-7~D-1,입원일,-7,-1,일,출산 준비,입원 당일,,준비 목록,준비,부부,복용약과 의료진 안내 준비,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,권장,예,공통,복용약과 의료진 안내 준비,,편집 검토 필요,초안,,,
162,입원 직전,입원 D-7~D-1,입원일,-7,-1,일,출산 준비,입원 당일,,준비 목록,준비,부부,냉장 보관 물품 별도 표시,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,알아본 물품과 실제 준비·수납 상태를 구분하기 위해 필요해요.,보유 여부와 사용할 목록에 넣었는지를 각각 확인하세요.,권장,예,공통,냉장 보관 물품 별도 표시,,편집 검토 필요,초안,,,
163,입원 직전,입원 D-7~D-1,입원일,-7,-1,일,보호자·부부 역할,정서 지원,,할 일,실행,부부,아내의 현재 걱정과 원하는 도움 다시 듣기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,아내의 현재 걱정과 원하는 도움 다시 듣기,,편집 검토 필요,초안,,,
164,입원 직전,입원 D-7~D-1,입원일,-7,-1,일,보호자·부부 역할,정서 지원,,할 일,실행,부부,계획이 바뀌어도 서로 탓하지 않기로 합의,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,계획이 바뀌어도 서로 탓하지 않기로 합의,,편집 검토 필요,초안,,,
165,입원 직전,입원 D-7~D-1,입원일,-7,-1,일,보호자·부부 역할,정서 지원,,할 일,실행,부부,가족 연락 담당과 휴식 시간을 정하기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,가족 연락 담당과 휴식 시간을 정하기,,편집 검토 필요,초안,,,
166,입원 직전,입원 D-7~D-1,입원일,-7,-1,일,병원·조리원·돌봄 서비스,조리원,,할 일,확인,부부,출산 시 조리원 연락 방법 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,조리원 이용,출산 시 조리원 연락 방법 확인,,병원·기관 확인 필요,초안,,,
167,입원 직전,입원 D-7~D-1,입원일,-7,-1,일,병원·조리원·돌봄 서비스,조리원,,할 일,확인,부부,입소일 변경·대기 절차 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,조리원 이용,입소일 변경·대기 절차 확인,,병원·기관 확인 필요,초안,,,
168,입원·출산,입원 D-day~D+3,입원일,0,3,일,입원·출산 과정,입원,,할 일,실행,부부,병원 접수와 병실 요청,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,병원 접수와 병실 요청,,병원·기관 확인 필요,초안,,,
169,입원·출산,입원 D-day~D+3,입원일,0,3,일,입원·출산 과정,입원,,할 일,실행,부부,금식·복용약 안내 재확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,금식·복용약 안내 재확인,,병원·기관 확인 필요,초안,,,
170,입원·출산,입원 D-day~D+3,입원일,0,3,일,입원·출산 과정,입원,,할 일,실행,부부,산모와 태아 상태 확인 절차 듣기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,산모와 태아 상태 확인 절차 듣기,,병원·기관 확인 필요,초안,,,
171,입원·출산,입원 D-day~D+3,입원일,0,3,일,입원·출산 과정,분만 진행,,가이드,실행,부부,진통·유도분만 진행 설명 기록,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,진통·유도분만 진행 설명 기록,,병원·기관 확인 필요,초안,,,
172,입원·출산,입원 D-day~D+3,입원일,0,3,일,입원·출산 과정,분만 진행,,가이드,실행,부부,통증조절 요청 시점 의료진과 상의,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,통증조절 요청 시점 의료진과 상의,,병원·기관 확인 필요,초안,,,
173,입원·출산,입원 D-day~D+3,입원일,0,3,일,입원·출산 과정,분만 진행,,가이드,실행,부부,응급 상황 또는 수술 전환 설명 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,응급 상황 또는 수술 전환 설명 확인,,병원·기관 확인 필요,초안,,,
174,입원·출산,입원 D-day~D+3,입원일,0,3,일,보호자·부부 역할,출산 중 보호자 역할,,할 일,실행,부부,산모가 원하는 호흡·자세·마사지 지원,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,산모가 원하는 호흡·자세·마사지 지원,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
175,입원·출산,입원 D-day~D+3,입원일,0,3,일,보호자·부부 역할,출산 중 보호자 역할,,할 일,실행,부부,의료진 설명과 중요한 시간을 메모,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,의료진 설명과 중요한 시간을 메모,,편집 검토 필요,초안,,,
176,입원·출산,입원 D-day~D+3,입원일,0,3,일,보호자·부부 역할,출산 중 보호자 역할,,할 일,실행,부부,허용 범위에서 사진·영상 기록,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,허용 범위에서 사진·영상 기록,,편집 검토 필요,초안,,,
177,입원·출산,입원 D-day~D+3,입원일,0,3,일,보호자·부부 역할,출산 중 보호자 역할,,할 일,실행,부부,가족 연락 범위에 맞춰 소식 전달,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,가족 연락 범위에 맞춰 소식 전달,,편집 검토 필요,초안,,,
178,입원·출산,입원 D-day~D+3,입원일,0,3,일,검사·진료,분만 중 확인,,검사·진료,실행,산모·아기,산모 활력징후와 내진,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,산모 활력징후와 내진,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
179,입원·출산,입원 D-day~D+3,입원일,0,3,일,검사·진료,분만 중 확인,,검사·진료,실행,산모·아기,전자태아심박동 모니터링,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,전자태아심박동 모니터링,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
180,입원·출산,입원 D-day~D+3,입원일,0,3,일,검사·진료,분만 중 확인,,검사·진료,실행,산모·아기,출생 직후 산모·아기 상태 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,출생 직후 산모·아기 상태 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
181,입원·출산,입원 D-day~D+3,입원일,0,3,일,입원·출산 과정,출산 직후,,할 일,결과 확인,부부,아기 성별·출생시간·체중 등 기본 정보 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,아기 성별·출생시간·체중 등 기본 정보 확인,,병원·기관 확인 필요,초안,,,
182,입원·출산,입원 D-day~D+3,입원일,0,3,일,입원·출산 과정,출산 직후,,할 일,결과 확인,부부,아기 상태와 추가 처치 여부 설명 듣기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,아기 상태와 추가 처치 여부 설명 듣기,,병원·기관 확인 필요,초안,,,
183,입원·출산,입원 D-day~D+3,입원일,0,3,일,입원·출산 과정,출산 직후,,할 일,결과 확인,부부,산모 상태와 회복 계획 설명 듣기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,산모 상태와 회복 계획 설명 듣기,,병원·기관 확인 필요,초안,,,
184,입원·출산,입원 D-day~D+3,입원일,0,3,일,산모 건강·회복,응급 신호,,병원 확인 신호,실행,산모,과다출혈,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,과다출혈,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
185,입원·출산,입원 D-day~D+3,입원일,0,3,일,산모 건강·회복,응급 신호,,병원 확인 신호,실행,산모,산모 의식·호흡 이상,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,산모 의식·호흡 이상,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
186,입원·출산,입원 D-day~D+3,입원일,0,3,일,산모 건강·회복,응급 신호,,병원 확인 신호,실행,산모,의료진이 응급 전환을 설명한 경우,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,의료진이 응급 전환을 설명한 경우,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
187,병원 회복,출생 D+0~D+7,출생일,0,7,일,산모 건강·회복,병원 회복,,검사·진료,결과 확인,산모,산모 출혈·자궁수축·배뇨 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,산모 출혈·자궁수축·배뇨 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
188,병원 회복,출생 D+0~D+7,출생일,0,7,일,산모 건강·회복,병원 회복,,검사·진료,결과 확인,산모,회음부 또는 수술부위 상태 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,회음부 또는 수술부위 상태 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
189,병원 회복,출생 D+0~D+7,출생일,0,7,일,산모 건강·회복,병원 회복,,검사·진료,결과 확인,산모,퇴원 후 산후진료 일정 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,퇴원 후 산후진료 일정 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
190,병원 회복,출생 D+0~D+7,출생일,0,7,일,아기 건강·돌봄,신생아 상태,,검사·진료,결과 확인,아기,신생아 황달·수유·체중 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,신생아 황달·수유·체중 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
191,병원 회복,출생 D+0~D+7,출생일,0,7,일,아기 건강·돌봄,신생아 상태,,검사·진료,결과 확인,아기,신생아 선별검사 시행 여부 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,신생아 선별검사 시행 여부 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
192,병원 회복,출생 D+0~D+7,출생일,0,7,일,아기 건강·돌봄,신생아 상태,,검사·진료,결과 확인,아기,청각검사 결과 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,청각검사 결과 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
